,"US1MT=RR,Bid Yield, ","US1MT=RR,Volatility,1 个月","US1MT=RR,Volatility,2 个月","US1MT=RR,Volatility,3 个月","US1MT=RR,Volatility,6 个月","US1MT=RR,Volatility,1 年","US1MT=RR,Volatility,23 天数"
2019/10/9,1.682,55.2765924002375,43.3997419819867,38.7628657337803,30.2380415867237,25.0862586799014,55.2765924002375
2019/10/8,1.674,55.2536456573216,43.5128414950562,38.8140601788372,30.2481622526945,25.0963021236923,55.2536456573216
2019/10/7,1.766,53.0330928559218,41.8502135681513,37.5328977890366,29.3955364262362,24.5548056428028,53.0330928559218
2019/10/4,1.764,52.9718042079675,41.8935033756003,37.5490820686427,29.3912502075462,24.5813949380591,52.9718042079675
2019/10/3,1.715,51.5805639259978,41.3826932452728,37.1031958854559,29.0731569638416,24.5030275526077,51.5805639259978
2019/10/2,1.746,51.8954179656853,41.7548485812591,37.1072186612203,29.0047096378879,24.4451022072978,51.8954179656853
2019/10/1,1.802,51.296732963423,42.381168495536,36.8767636708191,28.8596478715218,24.252745619027,51.296732963423
2019/9/30,1.947,44.9454411726095,39.2214914116099,33.685957596027,26.9238417529949,23.0343217705116,44.9454411726095
2019/9/27,1.95,45.0454106631194,39.5326075677189,34.5070512129695,26.9306464769743,23.0338863670127,45.0454106631194
2019/9/26,1.807,35.857695798664,34.5083896536781,30.790006035754,24.5973340593814,21.8425379073514,35.857695798664
2019/9/25,1.835,36.7641281886362,34.8594539590893,30.6790404817263,24.5561965467581,21.7950627187806,36.7641281886362
2019/9/24,1.904,35.0617132398947,33.9634815355612,29.8725949698472,24.1138751861551,21.499865065611,35.0617132398947
2019/9/23,1.96,33.9346991848087,33.427029249175,29.5982002190512,23.8134804068333,21.3119354711967,33.9346991848087
2019/9/20,1.963,33.9389964062149,33.4376141074354,30.1971486958564,23.8221977523637,21.3472352804129,33.9389964062149
2019/9/19,1.95,33.8498785421718,33.3730268999741,30.4553970486164,23.7966957135269,21.5550879265945,33.8498785421718
2019/9/18,1.957,35.7310964420023,33.4664623855736,30.6283622582169,23.8004367826713,21.5536009962422,35.7310964420023
2019/9/17,2.105,25.5854586907329,28.6140545955262,27.2107405194423,21.6229529312815,20.3567120651823,25.5854586907329
2019/9/16,2.098,28.6740793847269,28.8338417488296,27.2030791710918,21.6469520617892,20.3548542383027,28.6740793847269
2019/9/13,1.98,20.971915845641,24.9060712153169,24.9993449838254,19.9868089987014,19.5585784482506,20.971915845641
2019/9/12,2.011,20.4771036457161,24.75802909911,24.8381674376307,19.8946620782874,19.4998132526113,20.4771036457161
2019/9/11,2.018,21.4858922258243,24.7540709924647,25.8746823396154,19.892891350169,19.5000085615274,21.4858922258243
2019/9/10,2.039,21.5406762628108,24.7312440845988,26.0188950325559,19.9257445406117,19.4723545099652,21.5406762628108
